date,ensemble,date,account_value,dji
2022-01-03,1000000.0,,,1000000.0
2022-01-04,999244.3187942504,,,1005865.5049902436
2022-01-05,995251.1622314454,,,995136.0138376162
2022-01-06,993590.1622772218,,,990471.7975821542
2022-01-07,994439.7103134156,,,990340.3615824638
2022-01-10,995925.0578445436,,,985890.7565044003
2022-01-11,999106.7711593627,,,990896.8558394794
2022-01-12,1001201.9151245118,,,991943.7526526102
2022-01-13,987254.0816650392,,,987113.9334438421
2022-01-14,996504.9632110598,,,981597.6787825888
2022-01-18,984383.7842025758,,,966746.2649914182
2022-01-19,978583.9016220092,,,957457.7651075325
2022-01-20,971765.9045471192,,,948895.3129879801
2022-01-21,960479.55368042,,,936594.6758276811
2022-01-24,957653.3630142212,,,939304.2220211355
2022-01-25,942116.7184113312,,,937479.1728394073
2022-01-26,941174.6480844116,,,933935.63266254
2022-01-27,941505.226117859,,,933735.8627556182
2022-01-28,946239.7262704468,,,949170.7840515067
2022-01-31,947731.6681237796,,,960278.8877588881
2022-02-01,947297.9372964478,,,967751.3072863698
2022-02-02,950256.0732003785,,,973876.4811240927
2022-02-03,938536.406458435,,,959713.1043613582
2022-02-04,940230.2781121826,,,959127.5681937693
2022-02-07,936728.3567697144,,,959165.5789296668
2022-02-08,957291.6443704223,,,969324.1616417221
2022-02-09,961622.7507730102,,,977668.4791167842
2022-02-10,938948.6365319825,,,963278.2124276955
2022-02-11,925426.72217041,,,949514.9093374547
2022-02-14,923191.6940499878,,,944816.6329001071
2022-02-15,935392.211874237,,,956369.6544066027
2022-02-16,932912.567861786,,,954878.0533378178
2022-02-17,914700.532629242,,,937870.0641431168
2022-02-18,907560.8756925964,,,931505.4013148939
2022-02-22,904161.1163084412,,,918315.0353280962
2022-02-23,887743.5311338806,,,905609.092680531
2022-02-24,908704.2465574646,,,908125.5955860567
2022-02-25,925428.352071991,,,930946.9851667373
2022-02-28,927099.4344389344,,,926405.5564008318
2022-03-01,917606.451528778,,,910069.5884750595
2022-03-02,933703.5879576112,,,926371.3894472161
2022-03-03,932710.626516571,,,923728.4688133122
2022-03-04,920674.6536772156,,,918812.2712749346
2022-03-07,902389.6030485536,,,897015.8903027246
2022-03-08,891436.3602507019,,,891966.3348735155
2022-03-09,916609.5298521424,,,909831.8078322402
2022-03-10,900814.3659269714,,,906765.5372886921
2022-03-11,890692.8691007996,,,900482.1277470364
2022-03-14,880724.5141508484,,,900510.7425706895
2022-03-15,904463.1801817322,,,916886.32280831
2022-03-16,920529.6855833436,,,931065.9288740121
2022-03-17,928536.7333280944,,,942482.0690225849
2022-03-18,940667.7460691832,,,949976.0564395365
2022-03-21,940869.576452484,,,944456.2783111915
2022-03-22,952365.370153656,,,951411.9226652359
2022-03-23,944918.0503141785,,,939140.2206437801
2022-03-24,959906.1989653016,,,948691.6992987766
2022-03-25,962710.749716034,,,952881.849072821
2022-03-28,975736.1162321472,,,955469.0348636392
2022-03-29,988072.205297699,,,964716.0005445358
2022-03-30,985715.0362913512,,,962928.855326975
2022-03-31,972909.0796720886,,,947882.9034436552
2022-04-01,975744.161169281,,,951707.3600422817
2022-04-04,991148.7626707458,,,954539.3734101022
2022-04-05,980930.2445906068,,,946866.8636605087
2022-04-06,969134.3265386964,,,942912.5726381426
2022-04-07,972789.5379911804,,,945292.1941857454
2022-04-08,968237.4799658204,,,949051.947115962
2022-04-11,949986.2402105712,,,937762.0111523072
2022-04-12,946132.5826223756,,,935364.345182326
2022-04-13,953821.6767637634,,,944773.3903494372
2022-04-14,947015.340440216,,,941674.8747434141
2022-04-18,951090.957765808,,,940594.1312918579
2022-04-19,959341.3868544006,,,954247.4595001481
2022-04-20,961942.7372702028,,,961069.6391916312
2022-04-21,956312.5862394716,,,951010.1406450614
2022-04-22,943668.9724645998,,,924185.9856765724
2022-04-25,948388.0545427096,,,930693.0819926808
2022-04-26,935055.1317819369,,,908572.5420480419
2022-04-27,931007.789793564,,,910260.389556657
2022-04-28,941282.9149804842,,,927055.7962368303
2022-04-29,921703.7208261264,,,901384.669181141
2022-05-02,917915.5541757356,,,903688.589572139
2022-05-03,923735.2727884066,,,905527.8393939637
2022-05-04,943500.376955582,,,931010.0872591964
2022-05-05,922232.1922288669,,,901952.0541546214
2022-05-06,913112.7245195165,,,899257.0289164537
2022-05-09,894509.9309121859,,,881389.8476100483
2022-05-10,889416.6659837497,,,879067.6158673469
2022-05-11,881356.1224641574,,,870139.6307299716
2022-05-12,864964.6699685825,,,867302.1720039186
2022-05-13,882684.5016740572,,,880049.4353110127
2022-05-16,873816.5749612582,,,880780.8750477136
2022-05-17,900791.9432283177,,,892566.2852246611
2022-05-18,877244.2953454745,,,860735.817377633
2022-05-19,865265.8845750582,,,854259.4179339136
2022-05-20,859762.325931946,,,854499.1204678736
2022-05-23,901120.2411998904,,,871400.5514759857
2022-05-24,895667.0312084353,,,872722.919352643
2022-05-25,914105.3867534793,,,877961.6742874989
2022-05-26,936609.760685364,,,892090.6705531576
2022-05-27,955931.589817444,,,907828.5566330603
2022-05-31,956428.297001282,,,901737.549748953
2022-06-01,939333.8794750368,,,896902.4987254125
2022-06-02,956737.164112488,,,908793.9866161636
2022-06-03,943555.299976746,,,899265.9977417779
2022-06-06,942820.5073894656,,,899705.5769543898
2022-06-07,949251.9979442752,,,906931.4605571884
2022-06-08,934000.5284923709,,,899572.1122918285
2022-06-09,909577.2627605592,,,882130.3095579384
2022-06-10,870469.9016613162,,,858076.7742124917
2022-06-13,833199.9424633181,,,834131.2384719898
2022-06-14,821729.2578930056,,,829978.9926621128
2022-06-15,831160.2309459841,,,838280.1743582352
2022-06-16,796937.5585064089,,,818013.4585765727
2022-06-17,817156.5299572146,,,816966.8286927671
2022-06-21,827781.7440685427,,,834500.5085003644
2022-06-22,824558.6844829714,,,833212.5745066479
2022-06-23,811809.4858440554,,,838521.531854011
2022-06-24,836911.4420208132,,,861025.8093964461
2022-06-27,827991.8863872683,,,859319.6505361276
2022-06-28,819490.1147655642,,,845891.5039065107
2022-06-29,809120.5375866091,,,848141.611345564
2022-06-30,799639.0920604861,,,841202.142908622
2022-07-01,809887.4021953738,,,849998.905589767
2022-07-05,806110.4099773562,,,846460.8641569972
2022-07-06,798966.810673157,,,848370.369777194
2022-07-07,816987.637312134,,,857851.5926338184
2022-07-08,818193.6747039797,,,856583.304638431
2022-07-11,809677.8006050113,,,852092.1119715134
2022-07-12,803691.7521707461,,,846830.1341853718
2022-07-13,801347.7591137699,,,841129.965219109
2022-07-14,782136.7371345065,,,837231.6759691536
2022-07-15,814557.7385740359,,,855219.6161022446
2022-07-18,810467.9605625918,,,849325.1225872926
2022-07-19,836364.2269225466,,,869946.694213773
2022-07-20,841141.6434061435,,,871252.9395591929
2022-07-21,847964.0031783603,,,875682.6317096023
2022-07-22,853749.5478581699,,,871921.2238175699
2022-07-25,856309.9415726322,,,874401.744650069
2022-07-26,836208.9289577487,,,868156.0255291206
2022-07-27,855601.7408157504,,,880074.8469827644
2022-07-28,861604.1949889224,,,889150.7109662574
2022-07-29,871539.2662512821,,,897774.3966729929
2022-08-01,865614.5319283145,,,896497.0864664163
2022-08-02,855126.7680464785,,,885502.7480374022
2022-08-03,875221.2987073825,,,896882.5324118934
2022-08-04,879433.8175410922,,,894540.6012849978
2022-08-05,884398.9013151706,,,896635.6761720199
2022-08-08,879866.5603328098,,,897430.2713870449
2022-08-09,887573.9850505069,,,895841.4012721851
2022-08-10,908567.1467425236,,,910467.6334846823
2022-08-11,909253.4241949924,,,911210.0173237132
2022-08-12,924925.0431209567,,,922809.8048479704
2022-08-15,925394.496771744,,,926947.8500177509
2022-08-16,924769.52110463,,,933496.1602216582
2022-08-17,918818.9502104648,,,928803.2223708129
2022-08-18,919604.122185776,,,929314.8725012079
2022-08-19,906297.2629433902,,,921325.2507133685
2022-08-22,880394.0637153323,,,903746.2463063655
2022-08-23,877453.1186164554,,,899536.3437622621
2022-08-24,882420.4294379886,,,901166.5345366508
2022-08-25,896533.6505531009,,,909982.9966019897
2022-08-26,866283.2922614749,,,882420.3549626165
2022-08-29,853505.2202705081,,,877379.7683587316
2022-08-30,850888.4341376956,,,868957.7210641939
2022-08-31,840275.3844245608,,,861292.3116346485
2022-09-01,835968.9568275149,,,865282.7448876362
2022-09-02,825920.3138526614,,,856044.5344886034
2022-09-06,818327.8075507815,,,851312.037711775
2022-09-07,836590.1936286624,,,863228.8838884128
2022-09-08,841276.6792396243,,,868510.8279880736
2022-09-09,865116.694452637,,,878820.8130133385
2022-09-12,881021.1709998782,,,885097.389164271
2022-09-13,838521.1950019534,,,850209.6729848838
2022-09-14,841904.966516846,,,851032.9364094269
2022-09-15,832257.398737305,,,846296.8627796419
2022-09-16,821524.6199744876,,,842486.5534352469
2022-09-19,828618.9495032962,,,847878.3656451281
2022-09-20,819775.0089667971,,,839310.6817108035
2022-09-21,799666.0675910647,,,825030.2297460701
2022-09-22,783963.4197486575,,,822102.8158374507
2022-09-23,770919.282129639,,,808811.3370222966
2022-09-26,761190.2078956302,,,799802.2053700841
2022-09-27,759936.7359412845,,,796363.0879452047
2022-09-28,776080.5403999026,,,811362.3805824933
2022-09-29,762358.234888428,,,798840.0319247473
2022-09-30,746909.7546485598,,,785170.5277993546
2022-10-03,773892.1005958255,,,806091.1136558373
2022-10-04,802342.7360175784,,,828653.047932499
2022-10-05,799327.1800178225,,,827492.706156191
2022-10-06,789930.1046439823,,,818009.881723616
2022-10-07,766389.3378165896,,,800785.6263897007
2022-10-10,758608.1054740604,,,798218.780613457
2022-10-11,761226.1412223515,,,799211.2238442628
2022-10-12,760371.2753791508,,,798436.5949427569
2022-10-13,782889.8520652469,,,821065.2615506992
2022-10-14,767823.1897330936,,,810025.4917505492
2022-10-17,784292.5707954105,,,825086.0179750208
2022-10-18,793894.1116752323,,,834324.2283740534
2022-10-19,784833.6124274905,,,831591.1390141231
2022-10-20,780664.5238425906,,,829125.0857510457
2022-10-21,781744.5918067631,,,849597.1235695925
2022-10-24,797187.508766663,,,860996.8208717378
2022-10-25,804836.5290211795,,,870211.5414901597
2022-10-26,814726.6676869511,,,870276.2985444344
2022-10-27,815752.0861973881,,,875583.6543158469
2022-10-28,832143.1047612309,,,898230.0984168422
2022-10-31,823082.8776814579,,,894708.1261294447
2022-11-01,824535.5521687625,,,892528.2744887637
2022-11-02,814136.4496464848,,,878712.8134083939
2022-11-03,802965.7245976566,,,874708.1795153097
2022-11-04,815221.5769795537,,,885695.4710101407
2022-11-07,835445.1604497074,,,897278.8690738353
2022-11-08,874567.1511983037,,,906403.5811238257
2022-11-09,864708.2613041997,,,888721.8089266506
2022-11-10,873499.1591740727,,,921561.216236777
2022-11-11,857552.0509785771,,,922449.2367155949
2022-11-14,857976.1979863285,,,916677.4773043342
2022-11-15,853033.490740479,,,918214.2428149299
2022-11-16,858879.2617078861,,,917145.6713405991
2022-11-17,869112.951203278,,,916940.4560754449
2022-11-18,869073.303621552,,,922389.9784054176
2022-11-21,871701.4483144688,,,921148.7570435975
2022-11-22,868343.970653336,,,932022.6035752513
2022-11-23,857303.8156240392,,,934645.451123906
2022-11-25,858332.3692129063,,,938826.7388443562
2022-11-28,854944.668285172,,,925226.3694141703
2022-11-29,853039.062450211,,,925310.2919939887
2022-11-30,866378.0145376134,,,945461.6409213332
2022-12-01,864986.7817495274,,,940138.2160045485
2022-12-02,863686.0262563634,,,941091.2604669661
2022-12-05,861871.1864736485,,,927895.2355784759
2022-12-06,856971.1671865392,,,918307.6680787228
2022-12-07,864442.1854360509,,,918350.9106293927
2022-12-08,863867.5583608556,,,923368.2209961268
2022-12-09,842936.5987050938,,,915030.950455248
2022-12-12,837280.3239858556,,,929478.8738785632
2022-12-13,823608.8197133946,,,932310.6737029237
2022-12-14,820190.8955190587,,,928421.4066641575
2022-12-15,805097.646434586,,,907534.9343754255
2022-12-16,808938.8888662267,,,899833.4894869885
2022-12-19,803766.7639272618,,,895380.2541701033
2022-12-20,800893.2916677403,,,897900.3873144508
2022-12-21,805460.7587697911,,,912298.1280246429
2022-12-22,802435.977672379,,,902758.928118602
2022-12-23,798382.7392385411,,,907581.7003931869
2022-12-27,796779.7510793614,,,908610.2324687493
