account_rewards,date
2164.034588790848,2023-04-05
-6038.785813323921,2023-04-06
-1668.119221969624,2023-04-10
-2046.6907326049404,2023-04-11
15875.46867825312,2023-04-12
23169.953621154767,2023-04-13
2807.2203602906084,2023-04-14
7097.415287643438,2023-04-17
2659.8150896300795,2023-04-18
-3883.554959854111,2023-04-19
-5369.970020690933,2023-04-20
1276.0640068359207,2023-04-21
-12119.62964648439,2023-04-24
-3561.5035726164933,2023-04-25
17387.57103506464,2023-04-26
6119.855008239741,2023-04-27
6768.412320159958,2023-04-28
-8664.573164321948,2023-05-01
-11220.371297958307,2023-05-02
-9901.563169082627,2023-05-03
28651.15810887143,2023-05-04
748.1092827911489,2023-05-05
-6403.973449707031,2023-05-08
4298.722589752171,2023-05-09
-872.2158828887623,2023-05-10
-7627.454510559095,2023-05-11
1890.7934634399135,2023-05-12
-2463.4644333190518,2023-05-15
13003.653681869502,2023-05-16
9350.921295852633,2023-05-17
-808.2408762665,2023-05-18
-4843.469451278681,2023-05-19
-10525.029942428577,2023-05-22
-3622.2347848815843,2023-05-23
3356.416269302368,2023-05-24
9804.094157211366,2023-05-25
6047.929198822007,2023-05-26
-4050.2372765961336,2023-05-30
10311.377785217366,2023-05-31
10264.662182647735,2023-06-01
-6591.856691284222,2023-06-02
-282.0337327728048,2023-06-05
-762.299011581461,2023-06-06
6849.721474014339,2023-06-07
1748.1642727965955,2023-06-08
7644.308971008286,2023-06-09
1360.9335825347807,2023-06-12
395.5744292907184,2023-06-13
9876.58509536751,2023-06-14
-2165.9060325012542,2023-06-15
-2538.038547332748,2023-06-16
-3910.669565795921,2023-06-20
1430.0419707336696,2023-06-21
-3602.6073276671814,2023-06-22
-3377.8832289123675,2023-06-23
6360.3954002379905,2023-06-26
1088.5697029724251,2023-06-27
12665.942624847405,2023-06-28
15323.60246533202,2023-06-29
535.8228660125751,2023-06-30
-4876.637304626405,2023-07-03
-4212.416076446534,2023-07-05
