date,AAPL,AMGN,AXP,JPM,MSFT
2023-04-05,0,-38,-37,31,-100
2023-04-06,0,-85,-2,63,-100
2023-04-10,29,-100,100,-47,71
2023-04-11,-29,100,100,-47,-100
2023-04-12,0,-100,77,0,-100
2023-04-13,0,0,5,0,28
2023-04-14,0,-12,-100,100,28
2023-04-17,0,96,-2,100,-100
2023-04-18,0,-4,-36,-18,-30
2023-04-19,72,39,20,-56,40
2023-04-20,-25,-100,-47,-3,100
2023-04-21,100,100,100,100,-100
2023-04-24,-97,-100,9,-35,-3
2023-04-25,100,-100,-100,-19,-8
2023-04-26,100,-62,100,72,53
2023-04-27,-99,56,11,46,100
2023-04-28,-27,100,0,1,66
2023-05-01,32,99,100,-100,-100
2023-05-02,0,0,0,-100,45
2023-05-03,79,-100,-63,-88,100
2023-05-04,100,-4,-100,0,-100
2023-05-05,-43,36,100,100,0
2023-05-08,0,-11,-100,-15,64
2023-05-09,80,-52,100,-28,-100
2023-05-10,-26,-8,-21,1,85
2023-05-11,-92,100,-35,-58,2
2023-05-12,-100,29,-100,1,100
2023-05-15,0,-73,-6,88,3
2023-05-16,-100,42,85,-89,-80
2023-05-17,100,15,-100,68,-86
2023-05-18,-4,37,-29,-68,100
2023-05-19,100,-100,-100,100,0
2023-05-22,-66,0,0,63,100
2023-05-23,-47,0,-73,-23,70
2023-05-24,-53,-29,-39,0,68
2023-05-25,-36,-100,-5,28,-60
2023-05-26,5,-82,-99,25,-100
2023-05-30,-4,100,-93,39,100
2023-05-31,-49,-77,-41,100,92
2023-06-01,77,48,100,-100,-100
2023-06-02,-77,-100,100,38,-100
2023-06-05,79,100,-23,76,72
2023-06-06,-79,100,-100,-49,-66
2023-06-07,100,-100,13,86,-100
2023-06-08,-49,-100,-31,-100,100
2023-06-09,-51,-49,100,40,-100
2023-06-12,64,72,-55,-70,9
2023-06-13,-64,100,-69,-71,-100
2023-06-14,0,39,-100,74,-57
2023-06-15,53,-77,-57,-100,100
2023-06-16,-53,100,-50,-50,-100
2023-06-20,13,0,-43,51,-100
2023-06-21,91,-100,32,-24,29
2023-06-22,-100,46,-100,100,26
2023-06-23,100,-77,-59,87,100
2023-06-26,-100,73,-15,-100,100
2023-06-27,-4,-100,-100,100,-100
2023-06-28,0,60,-14,-100,-69
2023-06-29,71,23,23,-9,100
2023-06-30,52,-65,46,100,100
2023-07-03,-76,-43,90,-100,50
2023-07-05,34,-100,3,16,-100
