date,ensemble,date,account_value
03-01-2022,1000000,,
04-01-2022,999911.8664,,
05-01-2022,999100.856,,
06-01-2022,999198.6185,,
07-01-2022,999630.431,,
10-01-2022,999979.6084,,
11-01-2022,1001585.929,,
12-01-2022,1002570.895,,
13-01-2022,997823.6781,,
14-01-2022,998279.1714,,
18-01-2022,995059.7284,,
19-01-2022,992539.2688,,
20-01-2022,991016.6439,,
21-01-2022,987480.1543,,
24-01-2022,987226.6294,,
25-01-2022,990311.5019,,
26-01-2022,989981.7172,,
27-01-2022,989570.0299,,
28-01-2022,991840.3746,,
31-01-2022,992041.9386,,
01-02-2022,992314.1416,,
02-02-2022,992637.84,,
03-02-2022,990490.5915,,
04-02-2022,991098.6367,,
07-02-2022,991734.2639,,
08-02-2022,994977.0821,,
09-02-2022,997111.4026,,
10-02-2022,992465.0206,,
11-02-2022,988342.2521,,
14-02-2022,988084.22,,
15-02-2022,994834.0266,,
16-02-2022,994700.4627,,
17-02-2022,985401.9832,,
18-02-2022,982280.9572,,
22-02-2022,978796.2908,,
23-02-2022,966528.2906,,
24-02-2022,977078.5958,,
25-02-2022,987639.5639,,
28-02-2022,988085.1527,,
01-03-2022,972471.0807,,
02-03-2022,981532.7373,,
03-03-2022,977682.8269,,
04-03-2022,965199.4512,,
07-03-2022,945047.86,,
08-03-2022,942210.0394,,
09-03-2022,959738.6742,,
10-03-2022,956109.4207,,
11-03-2022,948319.8794,,
14-03-2022,946811.8516,,
15-03-2022,957649.1717,,
16-03-2022,967759.1387,,
17-03-2022,973277.293,,
18-03-2022,979723.6962,,
21-03-2022,978594.9104,,
22-03-2022,985288.2809,,
23-03-2022,978770.1631,,
24-03-2022,987727.866,,
25-03-2022,988838.0024,,
28-03-2022,995716.9552,,
29-03-2022,1002100.822,,
30-03-2022,999181.6654,,
31-03-2022,990774.4397,,
01-04-2022,991322.1445,,
04-04-2022,998321.0474,,
05-04-2022,991103.3728,,
06-04-2022,983863.527,,
07-04-2022,984499.1573,,
08-04-2022,983191.2278,,
11-04-2022,967683.2906,,
12-04-2022,966461.9445,,
13-04-2022,979442.7261,,
14-04-2022,974886.3364,,
18-04-2022,978150.7987,,
19-04-2022,988611.8392,,
20-04-2022,993215.8892,,
21-04-2022,986310.6145,,
22-04-2022,961273.3817,,
25-04-2022,972820.0634,,
26-04-2022,947623.251,,
27-04-2022,947513.7335,,
28-04-2022,955855.5162,,
29-04-2022,923986.0268,,
02-05-2022,920598.6442,,
03-05-2022,924098.3085,,
04-05-2022,951679.1641,,
05-05-2022,918617.2117,,
06-05-2022,917557.561,,
09-05-2022,899669.7132,,
10-05-2022,910079.7359,,
11-05-2022,886852.9219,,
12-05-2022,877201.7791,,
13-05-2022,891638.6156,,
16-05-2022,890537.7192,,
17-05-2022,906811.7316,,
18-05-2022,876838.3828,,
19-05-2022,869090.6547,,
20-05-2022,872458.9847,,
23-05-2022,894409.9882,,
24-05-2022,889973.7857,,
25-05-2022,896871.9714,,
26-05-2022,908518.2638,,
27-05-2022,930225.6327,,
31-05-2022,929778.4369,,
01-06-2022,922056.1072,,
02-06-2022,921869.887,,
03-06-2022,906367.9137,,
06-06-2022,902986.294,,
07-06-2022,911965.7701,,
08-06-2022,906414.053,,
09-06-2022,883567.1938,,
10-06-2022,862512.0396,,
13-06-2022,838164.407,,
14-06-2022,836972.3674,,
15-06-2022,844240.3287,,
16-06-2022,816280.7185,,
17-06-2022,832136.5814,,
21-06-2022,849061.886,,
22-06-2022,850599.9174,,
23-06-2022,860352.5854,,
24-06-2022,875804.8731,,
27-06-2022,873404.8831,,
28-06-2022,859599.6124,,
29-06-2022,864942.5121,,
30-06-2022,855124.1601,,
01-07-2022,865621.8493,,
05-07-2022,873183.3192,,
06-07-2022,872530.4215,,
07-07-2022,886582.3195,,
08-07-2022,890412.1782,,
11-07-2022,883074.9707,,
12-07-2022,883348.7661,,
13-07-2022,882243.6985,,
14-07-2022,883515.0894,,
15-07-2022,897139.5775,,
18-07-2022,880070.8693,,
19-07-2022,897800.0612,,
20-07-2022,901239.935,,
21-07-2022,905643.1298,,
22-07-2022,902592.3694,,
25-07-2022,905431.0421,,
26-07-2022,905348.0445,,
27-07-2022,919894.7857,,
28-07-2022,917213.1988,,
29-07-2022,925401.1317,,
01-08-2022,918790.9662,,
02-08-2022,910707.9021,,
03-08-2022,931801.5137,,
04-08-2022,929775.0325,,
05-08-2022,930581.6733,,
08-08-2022,930273.2415,,
09-08-2022,933181.3031,,
10-08-2022,952486.2818,,
11-08-2022,945218.4727,,
