date,ensemble,date,account_value,dji
2022-01-03,1000000.0,,,1000000.0
2022-01-04,999911.8663757324,,,1005865.5049902436
2022-01-05,999100.8559844972,,,995136.0138376162
2022-01-06,999198.61847229,,,990471.7975821542
2022-01-07,999630.43099823,,,990340.3615824638
2022-01-10,999979.6084381104,,,985890.7565044003
2022-01-11,1001585.9286056518,,,990896.8558394794
2022-01-12,1002570.8947540284,,,991943.7526526102
2022-01-13,997823.6781158446,,,987113.9334438421
2022-01-14,998279.1714385988,,,981597.6787825888
2022-01-18,995059.7284027098,,,966746.2649914182
2022-01-19,992539.2687545776,,,957457.7651075325
2022-01-20,991016.6439010618,,,948895.3129879801
2022-01-21,987480.15430603,,,936594.6758276811
2022-01-24,987226.6294281004,,,939304.2220211355
2022-01-25,990311.5019409176,,,937479.1728394073
2022-01-26,989981.7171844478,,,933935.63266254
2022-01-27,989570.0299468988,,,933735.8627556182
2022-01-28,991840.3745590206,,,949170.7840515067
2022-01-31,992041.9385604856,,,960278.8877588881
2022-02-01,992314.141552734,,,967751.3072863698
2022-02-02,992637.8399963377,,,973876.4811240927
2022-02-03,990490.5914810178,,,959713.1043613582
2022-02-04,991098.6366836546,,,959127.5681937693
2022-02-07,991734.263885498,,,959165.5789296668
2022-02-08,994977.0820526122,,,969324.1616417221
2022-02-09,997111.402593994,,,977668.4791167842
2022-02-10,992465.0205688477,,,963278.2124276955
2022-02-11,988342.252052307,,,949514.9093374547
2022-02-14,988084.2200241088,,,944816.6329001071
2022-02-15,994834.026586914,,,956369.6544066027
2022-02-16,994700.462661743,,,954878.0533378178
2022-02-17,985401.9832458496,,,937870.0641431168
2022-02-18,982280.957218933,,,931505.4013148939
2022-02-22,978796.29077301,,,918315.0353280962
2022-02-23,966528.2905654908,,,905609.092680531
2022-02-24,977078.5957580566,,,908125.5955860567
2022-02-25,987639.5639297484,,,930946.9851667373
2022-02-28,988085.1526733396,,,926405.5564008318
2022-03-01,972471.0806579588,,,910069.5884750595
2022-03-02,981532.7373092652,,,926371.3894472161
2022-03-03,977682.826864624,,,923728.4688133122
2022-03-04,965199.451158142,,,918812.2712749346
2022-03-07,945047.8600349424,,,897015.8903027246
2022-03-08,942210.039350128,,,891966.3348735155
2022-03-09,959738.6742492676,,,909831.8078322402
2022-03-10,956109.4207130432,,,906765.5372886921
2022-03-11,948319.8794258116,,,900482.1277470364
2022-03-14,946811.851584625,,,900510.7425706895
2022-03-15,957649.1716697692,,,916886.32280831
2022-03-16,967759.1387237548,,,931065.9288740121
2022-03-17,973277.2929809568,,,942482.0690225849
2022-03-18,979723.6962127684,,,949976.0564395365
2022-03-21,978594.910427856,,,944456.2783111915
2022-03-22,985288.280917358,,,951411.9226652359
2022-03-23,978770.1630966184,,,939140.2206437801
2022-03-24,987727.8659545896,,,948691.6992987766
2022-03-25,988838.002388,,,952881.849072821
2022-03-28,995716.9552291868,,,955469.0348636392
2022-03-29,1002100.822286987,,,964716.0005445358
2022-03-30,999181.6653854366,,,962928.855326975
2022-03-31,990774.4397201536,,,947882.9034436552
2022-04-01,991322.144512939,,,951707.3600422817
2022-04-04,998321.0474060054,,,954539.3734101022
2022-04-05,991103.3727905272,,,946866.8636605087
2022-04-06,983863.52696228,,,942912.5726381426
2022-04-07,984499.1573196409,,,945292.1941857454
2022-04-08,983191.2277603146,,,949051.947115962
2022-04-11,967683.2906051632,,,937762.0111523072
2022-04-12,966461.9444793698,,,935364.345182326
2022-04-13,979442.7260559078,,,944773.3903494372
2022-04-14,974886.3364440914,,,941674.8747434141
2022-04-18,978150.7986694332,,,940594.1312918579
2022-04-19,988611.8392120358,,,954247.4595001481
2022-04-20,993215.8892181392,,,961069.6391916312
2022-04-21,986310.6144773707,,,951010.1406450614
2022-04-22,961273.3816950832,,,924185.9856765724
2022-04-25,972820.06342543,,,930693.0819926808
2022-04-26,947623.2510249172,,,908572.5420480419
2022-04-27,947513.7334571836,,,910260.389556657
2022-04-28,955855.516204864,,,927055.7962368303
2022-04-29,923986.0268423152,,,901384.669181141
2022-05-02,920598.6441885678,,,903688.589572139
2022-05-03,924098.3085245052,,,905527.8393939637
2022-05-04,951679.1640964048,,,931010.0872591964
2022-05-05,918617.211699554,,,901952.0541546214
2022-05-06,917557.5609503476,,,899257.0289164537
2022-05-09,899669.7131682126,,,881389.8476100483
2022-05-10,910079.7359465634,,,879067.6158673469
2022-05-11,886852.9219087216,,,870139.6307299716
2022-05-12,877201.7791322323,,,867302.1720039186
2022-05-13,891638.615554382,,,880049.4353110127
2022-05-16,890537.7191920773,,,880780.8750477136
2022-05-17,906811.7316432492,,,892566.2852246611
2022-05-18,876838.382766296,,,860735.817377633
2022-05-19,869090.6546779171,,,854259.4179339136
2022-05-20,872458.984695007,,,854499.1204678736
2022-05-23,894409.988235046,,,871400.5514759857
2022-05-24,889973.7857203976,,,872722.919352643
2022-05-25,896871.9713893429,,,877961.6742874989
2022-05-26,908518.2637630306,,,892090.6705531576
2022-05-27,930225.6326631468,,,907828.5566330603
2022-05-31,929778.436949844,,,901737.549748953
2022-06-01,922056.107199066,,,896902.4987254125
2022-06-02,921869.8869655147,,,908793.9866161636
2022-06-03,906367.913671127,,,899265.9977417779
2022-06-06,902986.2939981534,,,899705.5769543898
2022-06-07,911965.770093887,,,906931.4605571884
2022-06-08,906414.0529613186,,,899572.1122918285
2022-06-09,883567.1937999417,,,882130.3095579384
2022-06-10,862512.0395641018,,,858076.7742124917
2022-06-13,838164.4069886319,,,834131.2384719898
2022-06-14,836972.3674225919,,,829978.9926621128
2022-06-15,844240.3286500089,,,838280.1743582352
2022-06-16,816280.7184815519,,,818013.4585765727
2022-06-17,832136.5814271085,,,816966.8286927671
2022-06-21,849061.886007797,,,834500.5085003644
2022-06-22,850599.9173646085,,,833212.5745066479
2022-06-23,860352.5853638761,,,838521.531854011
2022-06-24,875804.8730836026,,,861025.8093964461
2022-06-27,873404.8831238858,,,859319.6505361276
2022-06-28,859599.6124482267,,,845891.5039065107
2022-06-29,864942.5121216886,,,848141.611345564
2022-06-30,855124.1601472013,,,841202.142908622
2022-07-01,865621.8493256681,,,849998.905589767
2022-07-05,873183.319235336,,,846460.8641569972
2022-07-06,872530.4215302579,,,848370.369777194
2022-07-07,886582.3194685208,,,857851.5926338184
2022-07-08,890412.1781528775,,,856583.304638431
2022-07-11,883074.9706837613,,,852092.1119715134
2022-07-12,883348.7661151425,,,846830.1341853718
2022-07-13,882243.6985238645,,,841129.965219109
2022-07-14,883515.0894454953,,,837231.6759691536
2022-07-15,897139.577519943,,,855219.6161022446
2022-07-18,880070.8692825619,,,849325.1225872926
2022-07-19,897800.0611764448,,,869946.694213773
2022-07-20,901239.935001518,,,871252.9395591929
2022-07-21,905643.1297570722,,,875682.6317096023
