date,ensemble,dji
2022-01-03,1000000.0,1000000.0
2022-01-04,1000226.7721515504,1005865.5049902436
2022-01-05,998517.9863653716,995136.0138376162
2022-01-06,998469.002388092,990471.7975821542
2022-01-07,998486.947409668,990340.3615824638
2022-01-10,998745.6178193204,985890.7565044003
2022-01-11,999276.0063578032,990896.8558394794
2022-01-12,1000223.3378662564,991943.7526526102
2022-01-13,995261.8113919828,987113.9334438421
2022-01-14,995502.7283234556,981597.6787825888
2022-01-18,991412.6614468384,966746.2649914182
2022-01-19,988609.7421468352,957457.7651075325
2022-01-20,986583.5567935331,948895.3129879801
2022-01-21,982444.6956618192,936594.6758276811
2022-01-24,982114.4060401455,939304.2220211355
2022-01-25,982156.7381876068,937479.1728394073
2022-01-26,981933.6177727812,933935.63266254
2022-01-27,981769.3963237152,933735.8627556182
2022-01-28,983068.0574028624,949170.7840515067
2022-01-31,983905.312093292,960278.8877588881
2022-02-01,984769.122267807,967751.3072863698
2022-02-02,985801.6842058564,973876.4811240927
2022-02-03,981652.9462174376,959713.1043613582
2022-02-04,983073.663464752,959127.5681937693
2022-02-07,982067.3118972472,959165.5789296668
2022-02-08,986429.1957518004,969324.1616417221
2022-02-09,988974.7385158384,977668.4791167842
2022-02-10,983428.3188540648,963278.2124276955
2022-02-11,978493.0987960816,949514.9093374547
2022-02-14,978937.7169331054,944816.6329001071
2022-02-15,986326.3176700744,956369.6544066027
2022-02-16,986343.1276385498,954878.0533378178
2022-02-17,980096.3050469818,937870.0641431168
2022-02-18,977329.2922341768,931505.4013148939
2022-02-22,972892.9270240326,918315.0353280962
2022-02-23,962447.5536167908,905609.092680531
2022-02-24,972573.6856314392,908125.5955860567
2022-02-25,981810.8426690368,930946.9851667373
2022-02-28,984078.4581445006,926405.5564008318
2022-03-01,961072.2400775604,910069.5884750595
2022-03-02,971935.3093939514,926371.3894472161
2022-03-03,967263.8657921294,923728.4688133122
2022-03-04,949097.0905090484,918812.2712749346
2022-03-07,914629.1386297148,897015.8903027246
2022-03-08,910300.481792221,891966.3348735155
2022-03-09,941532.1768970032,909831.8078322402
2022-03-10,934133.5903678284,906765.5372886921
2022-03-11,921105.8086555632,900482.1277470364
2022-03-14,919750.833072006,900510.7425706895
2022-03-15,943508.325923828,916886.32280831
2022-03-16,966619.4685638122,931065.9288740121
2022-03-17,979980.190097122,942482.0690225849
2022-03-18,998456.8548078918,949976.0564395365
2022-03-21,995732.0235671232,944456.2783111915
2022-03-22,1011104.6951293028,951411.9226652359
2022-03-23,997193.2082381896,939140.2206437801
2022-03-24,1014315.8317424774,948691.6992987766
2022-03-25,1017467.1552566376,952881.849072821
2022-03-28,1027042.5061439668,955469.0348636392
2022-03-29,1039518.826844574,964716.0005445358
2022-03-30,1034016.9480018312,962928.855326975
2022-03-31,1017465.5800274352,947882.9034436552
2022-04-01,1018627.0062000732,951707.3600422817
2022-04-04,1032858.6835072022,954539.3734101022
2022-04-05,1018217.7272091064,946866.8636605087
2022-04-06,997217.1856759796,942912.5726381426
2022-04-07,998675.7629944456,945292.1941857454
2022-04-08,992165.2602556762,949051.947115962
2022-04-11,960104.0035281982,937762.0111523072
2022-04-12,955818.80703891,935364.345182326
2022-04-13,974167.4643242798,944773.3903494372
2022-04-14,959262.7540382384,941674.8747434141
2022-04-18,963879.4841556092,940594.1312918579
2022-04-19,978156.4818746032,954247.4595001481
2022-04-20,981232.6871630554,961069.6391916312
2022-04-21,968922.6568858948,951010.1406450614
2022-04-22,943730.8235455018,924185.9856765724
2022-04-25,959383.1487469788,930693.0819926808
2022-04-26,926621.0237001954,908572.5420480419
2022-04-27,944145.6354231568,910260.389556657
2022-04-28,965641.5103803176,927055.7962368303
2022-04-29,929252.6520206452,901384.669181141
2022-05-02,936380.0117277756,903688.589572139
2022-05-03,937149.3628374252,905527.8393939637
2022-05-04,966996.0926274948,931010.0872591964
2022-05-05,927233.169721672,901952.0541546214
2022-05-06,922444.6637544632,899257.0289164537
2022-05-09,896057.0241879654,881389.8476100483
2022-05-10,907167.0391297226,879067.6158673469
2022-05-11,880121.6715075608,870139.6307299716
2022-05-12,863748.5761230546,867302.1720039186
2022-05-13,882593.1704003068,880049.4353110127
2022-05-16,880318.5518978044,880780.8750477136
2022-05-17,899511.645675766,892566.2852246611
2022-05-18,864622.8276655275,860735.817377633
2022-05-19,857511.6265785829,854259.4179339136
2022-05-20,857458.7750078737,854499.1204678736
2022-05-23,884108.377274376,871400.5514759857
2022-05-24,881669.8063960802,872722.919352643
2022-05-25,888813.4751214372,877961.6742874989
2022-05-26,900408.7687469255,892090.6705531576
2022-05-27,922632.2060997696,907828.5566330603
2022-05-31,921259.996374672,901737.549748953
2022-06-01,917547.9530626755,896902.4987254125
2022-06-02,922745.6358647234,908793.9866161636
2022-06-03,907398.6436700976,899265.9977417779
2022-06-06,903481.1381106492,899705.5769543898
2022-06-07,913770.8957659226,906931.4605571884
2022-06-08,906459.6723476488,899572.1122918285
2022-06-09,887203.5512384721,882130.3095579384
2022-06-10,852619.0942838823,858076.7742124917
2022-06-13,821585.4259999925,834131.2384719898
2022-06-14,824066.0096048967,829978.9926621128
2022-06-15,842501.0453463823,838280.1743582352
2022-06-16,821236.2136350633,818013.4585765727
2022-06-17,828949.5775927812,816966.8286927671
2022-06-21,848474.8819271318,834500.5085003644
2022-06-22,846760.7574850237,833212.5745066479
2022-06-23,859903.3451543963,838521.531854011
2022-06-24,886813.512605507,861025.8093964461
2022-06-27,878358.9624969865,859319.6505361276
2022-06-28,856419.8863779375,845891.5039065107
2022-06-29,865487.8011423418,848141.611345564
2022-06-30,852631.7207474748,841202.142908622
2022-07-01,862020.6508317033,849998.905589767
2022-07-05,869397.5930233232,846460.8641569972
2022-07-06,875977.3148555986,848370.369777194
2022-07-07,886430.85592614,857851.5926338184
2022-07-08,884524.4620138399,856583.304638431
2022-07-11,874936.712988083,852092.1119715134
2022-07-12,849918.5080332796,846830.1341853718
2022-07-13,846336.6523509218,841129.965219109
2022-07-14,843799.0748634874,837231.6759691536
2022-07-15,855925.9284569627,855219.6161022446
2022-07-18,847692.2295936052,849325.1225872926
2022-07-19,863882.3526715471,869946.694213773
2022-07-20,870308.706086403,871252.9395591929
2022-07-21,876832.6434982531,875682.6317096023
2022-07-22,866731.8966870348,871921.2238175699
