account_rewards,date
-18496.729202880873,2023-01-04
11341.979138870258,2023-01-05
4303.098282379098,2023-01-06
6371.986430313205,2023-01-09
19846.094039916992,2023-01-10
6765.827840942307,2023-01-11
6741.704543701257,2023-01-12
-290.3988504029112,2023-01-13
-16721.901425079326,2023-01-17
-12596.628894546535,2023-01-18
22161.393440246582,2023-01-19
8387.231746215839,2023-01-20
270.3143842620775,2023-01-23
-2717.563423339743,2023-01-24
19494.867331466638,2023-01-25
4703.923136703437,2023-01-26
-864.5211694488535,2023-01-27
0.0,2023-01-30
-301.6633407592308,2023-01-31
795.4347094879486,2023-02-01
-326.8034078369383,2023-02-02
-227.2088261108147,2023-02-03
298.67360697931144,2023-02-06
-270.9105287475977,2023-02-07
-354.7377746888669,2023-02-08
201.0640019531129,2023-02-09
1162.5597725220723,2023-02-10
-435.5705703125568,2023-02-13
672.8599972686497,2023-02-14
-2412.3177623442607,2023-02-15
-88.0181249694433,2023-02-16
-4026.87004696636,2023-02-17
-572.7309809876606,2023-02-21
820.8445659027202,2023-02-22
-1425.8913028411334,2023-02-23
591.9385031281272,2023-02-24
-222.41558985912707,2023-02-27
-169.6878530883696,2023-02-28
-186.17094731144607,2023-03-01
3807.4221733398736,2023-03-02
1474.0409297790611,2023-03-03
-2454.386530609103,2023-03-06
346.8320512389764,2023-03-07
-1821.8035480347462,2023-03-08
-685.2364764556987,2023-03-09
1459.8074719239958,2023-03-10
1970.2707318878965,2023-03-13
-155.80657853686716,2023-03-14
1374.5533321379917,2023-03-15
-1358.6641126556788,2023-03-16
1157.8385481720325,2023-03-17
1140.06439900212,2023-03-20
-1199.701322784531,2023-03-21
716.8265134276589,2023-03-22
1016.3039003295125,2023-03-23
-899.1949185791891,2023-03-24
-250.30925756832585,2023-03-27
1444.2410610503284,2023-03-28
-9.586347084026784,2023-03-29
888.4751563263126,2023-03-30
92.96692393498961,2023-03-31
-658.8892424621154,2023-04-03
