date,AAPL,AMGN,AXP,JPM,MSFT
2022-10-04,-36,-76,58,55,19
2022-10-05,-25,-41,-76,100,11
2022-10-06,-33,97,-100,100,0
2022-10-07,0,-85,-52,-100,100
2022-10-10,75,51,0,-23,-62
2022-10-11,20,-100,39,-12,89
2022-10-12,-3,0,36,0,0
2022-10-13,54,-37,-67,39,-100
2022-10-14,1,31,-5,0,100
2022-10-17,-35,-43,-3,-72,-92
2022-10-18,-92,-26,0,1,84
2022-10-19,-20,0,62,-28,-65
2022-10-20,37,89,-53,-1,-16
2022-10-21,100,-89,100,-24,81
2022-10-24,-100,24,-37,46,100
2022-10-25,-37,-12,-72,100,39
2022-10-26,0,-12,0,-81,-100
2022-10-27,0,0,7,46,-100
2022-10-28,0,85,100,-35,-100
2022-10-31,10,44,-100,-54,69
2022-11-01,100,100,-7,17,-35
2022-11-02,0,-22,0,0,26
2022-11-03,-100,-100,71,100,-32
2022-11-04,40,100,6,-51,-100
2022-11-07,15,-13,-34,100,31
2022-11-08,52,-100,-43,26,44
2022-11-09,-92,-86,100,-19,100
2022-11-10,0,0,55,-77,100
2022-11-11,-9,28,-89,-39,-20
2022-11-14,20,-36,46,-15,-49
2022-11-15,61,7,-70,7,-25
2022-11-16,-96,-3,9,-50,-20
2022-11-17,-1,65,-51,12,13
2022-11-18,0,59,0,59,60
2022-11-21,0,100,0,24,-100
2022-11-22,0,8,0,97,-62
2022-11-23,0,0,0,33,-18
2022-11-25,0,-27,0,58,-1
2022-11-28,0,-3,1,-30,19
2022-11-29,0,-79,-1,-100,76
2022-11-30,0,-100,0,100,100
2022-12-01,0,-27,45,23,-9
2022-12-02,0,0,-36,-35,61
2022-12-05,0,0,-9,0,6
2022-12-06,0,0,0,100,-66
2022-12-07,95,0,0,-79,0
2022-12-08,0,0,76,100,-100
2022-12-09,-95,0,-27,100,9
2022-12-12,0,16,-49,100,-29
2022-12-13,0,-16,0,1,16
2022-12-14,0,60,100,-43,-100
2022-12-15,98,-47,0,-9,0
2022-12-16,-9,-13,-74,-56,91
2022-12-19,-62,0,0,1,34
2022-12-20,0,0,0,0,0
2022-12-21,-27,26,-26,-100,-7
2022-12-22,0,59,0,1,0
2022-12-23,0,25,0,-50,0
2022-12-27,0,0,0,0,0
2022-12-28,0,6,0,1,-7
2022-12-29,0,-100,100,73,-66
2022-12-30,0,93,-44,-100,54
